date,EUR,ARS,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,DZD,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,LTL,MAD,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,TWD,USD,ZAR
2014-12-31,1.0,10.28,1.4829,1.9558,3.2207,1.4063,1.2024,7.5358,27.735,7.4453,106.7437,0.7789,9.417,7.658,315.54,15076.1,4.72,76.719,,145.23,1324.8,3.4528,10.9919,17.8679,4.2473,9.042,1.5525,54.436,4.2732,4.4828,72.337,9.393,1.6058,39.91,2.832,38.44,1.2141,14.0353
2015-01-02,1.0,10.3,1.4841,1.9558,3.2433,1.4069,1.2022,7.4759,27.693,7.4434,105.8756,0.78,9.3402,7.6713,318.75,15073.02,4.7291,76.3,,145.21,1332.24,,10.9965,17.8537,4.2349,9.042,1.5609,53.961,4.3053,4.502,70.461,9.4702,1.6,39.69,2.8332,38.267,1.2043,14.0435
2015-01-05,1.0,10.1963,1.4755,1.9558,3.2334,1.4041,1.2016,7.4111,27.676,7.441,104.8725,0.7827,9.2409,7.6738,318.32,15027.69,4.712,75.6156,,143.0,1323.73,,10.9432,17.695,4.2215,9.1075,1.5515,53.674,4.2979,4.4975,70.388,9.4882,1.592,39.297,2.7869,38.1384,1.1915,13.9739
2015-01-06,1.0,10.1883,1.464,1.9558,3.2159,1.4014,1.2014,7.4022,27.695,7.4414,104.8682,0.7842,9.2376,7.674,319.32,15093.06,4.714,75.74,,141.69,1311.72,,10.9485,17.7781,4.255,9.1795,1.5378,53.624,4.3075,4.499,74.91,9.4208,1.5905,39.221,2.7732,38.1401,1.1914,13.9771
2015-01-07,1.0,10.1131,1.466,1.9558,3.1679,1.3996,1.2011,7.3512,27.783,7.4421,104.3825,0.7823,9.1743,7.6753,319.53,15041.65,4.6835,74.7423,,141.17,1304.28,,10.9335,17.4803,4.2376,9.15,1.5275,53.363,4.3108,4.4978,75.0,9.3989,1.5844,38.912,2.7547,37.839,1.1831,13.8588
2015-01-08,1.0,10.0887,1.4518,1.9558,3.1774,1.3905,1.201,7.3152,27.865,7.4398,104.0306,0.7811,9.1265,7.6745,317.05,14877.39,4.674,73.63,,141.0,1291.62,,10.9312,17.3087,4.189,9.028,1.5113,52.908,4.2902,4.4878,72.3732,9.434,1.5753,38.693,2.7181,37.6563,1.1768,13.6912
2015-01-09,1.0,10.1456,1.4506,1.9558,3.1389,1.3963,1.201,7.3321,28.062,7.4393,103.9706,0.7799,9.1593,7.678,317.39,14925.34,4.6614,73.6233,,140.81,1290.29,,10.9365,17.319,4.2054,9.0605,1.5115,53.09,4.2699,4.4892,72.891,9.4883,1.5789,38.846,2.7154,37.7137,1.1813,13.6655
2015-01-12,1.0,10.139,1.4498,1.9558,3.1354,1.4043,1.201,7.3194,28.287,7.4391,103.7052,0.7791,9.1518,7.6785,318.03,14878.94,4.6688,73.3784,,140.56,1281.23,,10.9332,17.2955,4.2105,9.1275,1.5222,53.032,4.2765,4.4833,73.9104,9.541,1.5775,38.817,2.709,37.6464,1.1804,13.6056
2015-01-13,1.0,10.1207,1.4441,1.9558,3.1143,1.4098,1.201,7.3028,28.405,7.4398,103.4011,0.7767,9.1348,7.6815,318.27,14842.5,4.6462,73.0991,,139.56,1275.75,,10.9315,17.2164,4.2322,9.115,1.5215,52.715,4.2824,4.488,77.91,9.4564,1.5735,38.7,2.6875,37.5561,1.1782,13.5487
2015-01-14,1.0,10.1153,1.4473,1.9558,3.0909,1.4089,1.201,7.2968,28.229,7.4386,103.5027,0.7753,9.1301,7.6845,319.97,14863.25,4.6307,73.2273,,137.48,1277.86,,10.9267,17.2151,4.2317,9.056,1.525,52.547,4.2863,4.4928,77.903,9.5011,1.5724,38.603,2.6957,37.4679,1.1775,13.5437
